company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,321939,Metric tons of CO2-equivalent,305-2-a,5893406
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2016,Total energy consumption within the organization,10114780.04,GJ,302-1-e,9439323
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Total weight of non-hazardous waste diverted from disposal,406653,Metric tons,306-4-c,5892497
Nissui Corp,6127,Large,Japan,JPN,28900,Processed Foods,2016,Total weight of waste directed to disposal,3178,Metric tons,306-5-a,9904421
Lantmännen ek för,3305,Medium,Sweden,SWE,28190,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,94700,Metric tons of CO2-equivalent,305-2-a,9401882
Orkla ASA,4970,Large,Norway,NOR,20639,Processed Foods,2016,Scope 1 biogenic CO2 emissions,428,Metric tons of CO2-equivalent,305-1-c,3584513
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Gross other indirect (Scope 3) GHG emissions,8443,Metric tons of CO2-equivalent,305-3-a,5893501
Grupo Bimbo SAB de CV,5894,Large,Mexico,MEX,49805,Processed Foods,2016,Total fuel consumption from non-renewable sources,16406769,GJ,302-1-a,18820660
Riken Vitamin Co Ltd,21451,Small,Japan,JPN,27781,Processed Foods,2016,Water consumption from all areas,464000,m3,303-5-a,10054337
Grupo Bimbo SAB de CV,5894,Large,Mexico,MEX,21342,Processed Foods,2016,"Total electricity, heating, cooling and steam consumption",23697611,GJ,302-1-c,1471245
Lantmännen ek för,3305,Medium,Sweden,SWE,28190,Processed Foods,2016,Gross other indirect (Scope 3) GHG emissions,149400,Metric tons of CO2-equivalent,305-3-a,9402019
Lantmännen ek för,3305,Medium,Sweden,SWE,28190,Processed Foods,2016,Water withdrawal from all areas,1971700,m3,303-3-a,9402071
