company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Total fuel consumption from renewable sources,84631,GJ,302-1-b,27685378
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Water withdrawal from all areas with water stress,20759869,m3,303-3-b,27685208
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Water consumption from all areas with water stress,14340000,m3,303-5-b,14386356
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Water consumption from all areas with water stress,20759869,m3,303-5-b,27685424
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Gross direct (Scope 1) GHG emissions,174221,Metric tons of CO2-equivalent,305-1-a,27685361
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Gross market-based energy indirect (Scope 2) GHG emissions,1121770,Metric tons of CO2-equivalent,305-2-b,14381624
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Water withdrawal from all areas with water stress,74041000,m3,303-3-b,14387327
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Total weight of waste generated,23982,Metric tons,306-3-a,27685096
Thai Union Group PCL,10111,Large,Thailand,THA,33302,Processed Foods,2016,Total energy consumption within the organization,33097,GJ,302-1-e,10160571
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Breakdown of water discharge by sources,1673000,m3,303-4-b,24111740
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Total fuel consumption from non-renewable sources,779096,GJ,302-1-a,24112176
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Water withdrawal breakdown by sources,74041000,m3,303-3-c,14382501
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Water discharge to all areas,4288573,m3,303-4-a,27685448
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Water discharge to all areas,59701000,m3,303-4-a,14382301
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Breakdown of water discharge by sources,2144287,m3,303-4-b,27685279
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Gross other indirect (Scope 3) GHG emissions,29935,Metric tons of CO2-equivalent,305-3-a,27684985
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Significant air emissions,330,Metric tons,305-7-a,20681599
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Total weight of waste directed to disposal,17606,Metric tons,306-5-a,14386087
Salov S.p.A.,102350,Medium,Italy,ITA,54572,Processed Foods,2016,Breakdown of water discharge by sources,82548,m3,303-4-b,19587291
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,114791,Metric tons of CO2-equivalent,305-2-a,27685456
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Total fuel consumption from non-renewable sources,39105000,GJ,302-1-a,14381517
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,"Total electricity, heating, cooling and steam consumption",941856,GJ,302-1-c,24114337
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Total weight of non-hazardous waste diverted from disposal,2557755,Metric tons,306-4-c,14386350
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Water withdrawal breakdown by sources,20759869,m3,303-3-c,27685369
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Water consumption from all areas,14340000,m3,303-5-a,14384610
Ajinomoto Co Inc,6100,Large,Japan,JPN,37425,Processed Foods,2016,Total energy consumption within the organization,39105000,GJ,302-1-e,14384561
Ebro Foods SA,8323,Large,Spain,ESP,51164,Processed Foods,2016,Gross market-based energy indirect (Scope 2) GHG emissions,114791,Metric tons of CO2-equivalent,305-2-b,27685454
Thai Union Group PCL,10111,Large,Thailand,THA,33302,Processed Foods,2016,Gross market-based energy indirect (Scope 2) GHG emissions,422695,Metric tons of CO2-equivalent,305-2-b,10160620
Seneca Foods Corporation,14914,Large,United States,USA,40155,Processed Foods,2016,GHG emissions reduced as a direct result of reduction initiatives,4700,Metric tons of CO2-equivalent,305-5-a,15416881
Zentis,103048,Medium,Germany,DEU,55392,Processed Foods,2016,Water withdrawal breakdown by sources,1673000,m3,303-3-c,24111959
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,76663,Metric tons of CO2-equivalent,305-2-a,9159177
Ezaki Glico Co Ltd,12659,Large,Japan,JPN,39636,Processed Foods,2016,Gross direct (Scope 1) GHG emissions,105288,Metric tons of CO2-equivalent,305-1-a,14430027
Ezaki Glico Co Ltd,12659,Large,Japan,JPN,39636,Processed Foods,2016,Gross market-based energy indirect (Scope 2) GHG emissions,105288,Metric tons of CO2-equivalent,305-2-b,14429988
Inarktika PAO,8331,Small,Russian Federation,RUS,29635,Processed Foods,2016,Gross direct (Scope 1) GHG emissions,975941,Metric tons of CO2-equivalent,305-1-a,9159172
